anio,gravedad,comuna,cantidad_homicidios,Anio anterior,Tasa Actual,Tasa Anterior,variacion%
2016,fatal,1,17,0,0.5445738501403239,0.0,inf
2017,fatal,1,20,17,0.6406751178121458,0.5445738501403239,17.64705882352942
2018,fatal,1,20,20,0.6406751178121458,0.6406751178121458,0.0
2019,fatal,1,12,20,0.3844050706872874,0.6406751178121458,-40.000000000000014
2020,fatal,1,10,12,0.3203375589060729,0.3844050706872874,-16.66666666666665
2021,fatal,1,9,10,0.2883038030154656,0.3203375589060729,-10.000000000000005
